[2025-05-11 21:57:27] {'timestamp_ini': 1747015042.7488444, 'timestamp_fin': 1747015042.8749065, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_tesis', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 6.666666666666667, 'edad': 25}
[2025-05-11 21:57:34] {'timestamp_ini': 1747015049.4641035, 'timestamp_fin': 1747015049.5904255, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_libros', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 5.0, 'edad': 25}
[2025-05-11 21:57:40] {'timestamp_ini': 1747015056.163424, 'timestamp_fin': 1747015056.2864459, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_videos', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 5.0, 'edad': 25}
[2025-05-11 21:57:47] {'timestamp_ini': 1747015062.8795528, 'timestamp_fin': 1747015063.006543, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_articulos', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 5.0, 'edad': 25}
[2025-05-11 22:58:57] {'timestamp_ini': 1747018732.838918, 'timestamp_fin': 1747018732.9477525, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_tesis', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 6.666666666666667, 'edad': 25}
[2025-05-11 22:59:04] {'timestamp_ini': 1747018739.650561, 'timestamp_fin': 1747018739.7548275, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_libros', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 5.0, 'edad': 25}
[2025-05-11 22:59:10] {'timestamp_ini': 1747018746.3444335, 'timestamp_fin': 1747018746.4537892, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_videos', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 5.0, 'edad': 25}
[2025-05-11 22:59:17] {'timestamp_ini': 1747018753.0241306, 'timestamp_fin': 1747018753.1279879, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_articulos', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 5.0, 'edad': 25}
[2025-05-11 23:10:49] {'timestamp_ini': 1747019445.1543493, 'timestamp_fin': 1747019445.3067505, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_tesis', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 15.0, 'edad': 25}
[2025-05-11 23:10:56] {'timestamp_ini': 1747019451.8942337, 'timestamp_fin': 1747019452.0749116, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_libros', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 0, 'edad': 25}
[2025-05-11 23:11:03] {'timestamp_ini': 1747019458.6516318, 'timestamp_fin': 1747019458.7832224, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_videos', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 0, 'edad': 25}
[2025-05-11 23:11:10] {'timestamp_ini': 1747019465.3561413, 'timestamp_fin': 1747019465.4954283, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_articulos', 'tipo_busqueda': 'buscar_titulo', 'query': 'desarrollo', 'score_promedio': 0, 'edad': 25}
[2025-05-11 23:11:40] {'timestamp_ini': 1747019496.0571954, 'timestamp_fin': 1747019496.185859, 'maquina': 'LAPTOP-M4TY', 'tipo_maquina': 'esclavo_tesis', 'tipo_busqueda': 'buscar_titulo', 'query': 'la', 'score_promedio': 10.0, 'edad': 25}
